Threshold,Cow,Pooling.method,Primer,Cooperia oncophora,Cooperia punctata,Haemonchus contortus,Haemonchus placei,Oesophagostomum radiatum,Ostertagia ostertagi,Trichostrongylus axei
0.05%,C15,P11,NEMA1,0.002504912,0.003007757,0.001154681,0.635260595,0.297386138,0.026511095,0.034174822
0.05%,C15,P12,NEMA1,0,0.003018203,0,0.638049978,0.299298877,0.026685788,0.032947153
0.05%,C15,P13,NEMA1,0.004204861,0.002806745,0.001156337,0.638213775,0.294865865,0.027731057,0.031021361
0.05%,C15,P14,NEMA1,0.004226945,0.001933827,0.000686879,0.639367649,0.296361657,0.0278767,0.029546343
0.05%,C15,P15,NEMA1,0.003022762,0.003118892,0.001773069,0.643645258,0.291829999,0.024363671,0.03224635
0.05%,C15,P16,NEMA1,0,0.002491195,0.000601323,0.646615411,0.293381153,0.024493171,0.032417748
0.05%,C16,P1,NEMA1,0.020566147,0.017937608,0.000837666,0.900317735,0.024061236,0.020826112,0.015453495
0.05%,C16,P2,NEMA1,0.020766513,0.019951074,0.001005708,0.890921446,0.026175591,0.025631965,0.015547703
0.05%,C16,P3,NEMA1,0.021907592,0.018586494,0.000728311,0.893812271,0.02522869,0.023626406,0.016110237
0.05%,C16,P4,NEMA1,0.020884924,0.019482651,0,0.894322284,0.023868485,0.024345854,0.017095802
0.05%,C16,P5,NEMA1,0.026230767,0.026006846,0,0.858897668,0.034131986,0.031892774,0.02283996
0.05%,C16,P6,NEMA1,0.017854521,0.016767979,0.000822248,0.899215928,0.025489678,0.023992012,0.015857634
0.05%,C16,P7,NEMA1,0.019441222,0.017747954,0.000721207,0.896146248,0.026182936,0.024552382,0.015208052
0.05%,C16,P8,NEMA1,0.021071348,0.018848831,0.000860634,0.894936445,0.02517591,0.023407354,0.015699478
0.05%,C16,P9,NEMA1,0.021099084,0.018864172,0.000625018,0.896114473,0.024584032,0.023438166,0.015275055
0.05%,C16,P10,NEMA1,0.019905087,0.017517998,0,0.899932477,0.024688775,0.023538027,0.014417636
0.05%,C16,P11,NEMA1,0.020669374,0.018974933,0.00092424,0.895476824,0.025150539,0.023302059,0.015502031
0.05%,C16,P12,NEMA1,0.020521104,0.017810239,0.000927031,0.898181052,0.024299459,0.023372428,0.014888686
0.05%,C16,P13,NEMA1,0.021234009,0.018260668,0.000783222,0.897078873,0.024642474,0.022220288,0.015780466
0.05%,C16,P14,NEMA1,0.019574146,0.017404095,0,0.900789374,0.0247444,0.022312196,0.015175789
0.05%,C16,P15,NEMA1,0.021317284,0.019292424,0.000871815,0.892316778,0.025718544,0.024663929,0.015819225
0.05%,C16,P16,NEMA1,0.021385546,0.019340095,0,0.895174145,0.024869867,0.024742908,0.014487438
0.05%,C17,P1,NEMA1,0.006411621,0.014472704,0,0.199425349,0.634830265,0.076274343,0.068585719
0.05%,C17,P2,NEMA1,0.004935459,0.013692736,0,0.192179195,0.659478613,0.066843837,0.062870159
0.05%,C17,P3,NEMA1,0.00586736,0.01361971,0,0.198348643,0.652259332,0.066213561,0.063691393
0.05%,C17,P4,NEMA1,0.005590266,0.014304505,0,0.201766336,0.642316907,0.070723916,0.065298069
0.05%,C17,P5,NEMA1,0.006564424,0.012083188,0,0.190077844,0.662454979,0.066108981,0.062710584
0.05%,C17,P6,NEMA1,0.005588018,0.014409712,0,0.190134453,0.659244341,0.06654564,0.064077835
0.05%,C17,P7,NEMA1,0.005989606,0.013895006,0,0.203118119,0.640909892,0.069475029,0.066612349
0.05%,C17,P8,NEMA1,0.005724792,0.013924227,0,0.196577324,0.649036283,0.069725698,0.065011676
0.05%,C17,P9,NEMA1,0.005306151,0.013230468,0,0.196868673,0.649863855,0.06983523,0.064895622
0.05%,C17,P10,NEMA1,0.00530768,0.01323428,0,0.196925387,0.650051069,0.069855348,0.064626236
0.05%,C17,P11,NEMA1,0.00565514,0.014072998,0,0.195711951,0.647461672,0.071441542,0.065656697
0.05%,C17,P12,NEMA1,0.00536747,0.013048281,0,0.196075119,0.648463188,0.071583599,0.065462343
0.05%,C17,P13,NEMA1,0.006139209,0.014045765,0,0.198886438,0.643553831,0.071238738,0.066136019
0.05%,C17,P14,NEMA1,0.005497431,0.013723611,0,0.19919868,0.6445039,0.071360115,0.065716263
0.05%,C17,P15,NEMA1,0.005390277,0.013657095,0,0.195190215,0.655955219,0.066536229,0.063270965
0.05%,C17,P16,NEMA1,0.005060729,0.012937299,0,0.195473892,0.656765805,0.066632928,0.063129347
0.05%,C13,P1,NEMA2,0.007621905,0.008448376,0.000765251,0.613762282,0.27249074,0.051577949,0.045333497
0.05%,C13,P2,NEMA2,0.010044559,0.012310248,0.002190167,0.604259497,0.267880069,0.050638169,0.05267729
